Team,Q1_mean,Q2_mean,Q3_mean,Q4_mean
Atlanta Hawks,28.875,28.125,28.375,27.51388889
Boston Celtics,27.48611111,27.27777778,29.23611111,27.90277778
Cleveland Cavaliers,26.08333333,26.26388889,24.77777778,25.52777778
New Orleans Pelicans,30.04166667,28.30555556,28.125,27.19444444
Chicago Bulls,27.22222222,27.63888889,28.33333333,26.83333333
Dallas Mavericks,28.09722222,29.16666667,28.06944444,26.90277778
Denver Nuggets,31.06944444,28.52777778,27.59722222,26.55555556
Golden State Warriors,28.55555556,28.04166667,29.20833333,27.69444444
Houston Rockets,27.48611111,27.27777778,29.23611111,27.90277778
Los Angeles Clippers,29.04166667,28.61111111,29.04166667,27.31944444
Los Angeles Lakers,29.04166667,28.61111111,29.04166667,27.31944444
Miami Heat,28.31944444,26.875,27.04166667,25.31944444
Milwaukee Bucks,30.80555556,29.72222222,31.09722222,28.125
Minnesota Timberwolves,27.59722222,28.40277778,27.15277778,28.30555556
Brooklyn Nets,27.48611111,27.27777778,29.23611111,27.90277778
New York Knicks,30.04166667,28.30555556,28.125,27.19444444
Orlando Magic,25.27777778,25.38888889,26.61111111,26.38888889
Indiana Pacers,29.75,28.80555556,28.26388889,27.43055556
Philadelphia 76ers,29.48611111,28.875,27.375,26.81944444
Phoenix Suns,29.16666667,28.52777778,29.15277778,27.09722222
Portland Trail Blazers,31.18055556,28.05555556,28.63888889,28.02777778
Sacramento Kings,29.75,29.26388889,27.59722222,26.95833333
San Antonio Spurs,27.36111111,27.97222222,27.44444444,27.30555556
Oklahoma City Thunder,26.56944444,27.04166667,24.97222222,26.15277778
Toronto Raptors,29.25,28,26.76388889,27.05555556
Utah Jazz,29.29166667,28.48611111,29.93055556,28.41666667
Memphis Grizzlies,28.31944444,27.61111111,29.22222222,27.29166667
Washington Wizards,29.38888889,29.73611111,28.29166667,28.40277778
Detroit Pistons,27,25.68055556,26.875,26.125
Charlotte Hornets,28.22222222,27.47222222,27.25,26.125
